N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,5476,0,0.1156020209765477,0.0949933599999981,0.4044,0.1504,0.09500506122448683,0.05560767346938777,0.19163786741912314,2.4012091819637313
150000,5000,7610,0,0.2266865808647348,0.10523687999999845,0.4097,0.1099,0.10097804081632372,0.031706367346938324,0.38106778952129766,1.0687690812441981
150000,5000,6396,0,0.21822564379649578,0.08990999999999853,0.3578,0.0902,0.08375861224489588,0.031637632653061167,0.17791193474108824,2.087063791694735
150000,5000,5800,0,0.11619642096992466,0.10446111999999819,0.4152,0.1816,0.10148914285713988,0.06393534693877599,0.347684663848287,2.112402953669844
150000,5000,6497,0,0.12605833832929791,0.09950895999999834,0.4056,0.1612,0.0980413061224464,0.05641787755102049,0.3031088861095103,2.0778267260478
150000,5000,7241,0,0.12018785853434288,0.10386815999999856,0.4218,0.19,0.09868636734693628,0.06447281632653068,0.17582605716486766,1.9036898988478408
150000,5000,8078,0,0.07418693463243264,0.09645159999999882,0.3936,0.199,0.09629697959183448,0.06996114285714301,0.3513239033329246,2.104474179255242
150000,5000,9434,0,0.13157013724419986,0.10744791999999925,0.4047,0.1893,0.10192751020407924,0.06299551020408206,0.46956039427961993,1.796269031323438
150000,5000,6877,0,0.06823921185728576,0.10136071999999847,0.3939,0.2405,0.0960229387755078,0.08079877551020417,0.3368456401361567,1.8490950713107723
150000,5000,11322,0,0.17458964075108252,0.09863639999999879,0.3931,0.1041,0.0980053877550996,0.04062261224489765,0.42776938993993663,2.7345857705533567
150000,5000,7167,0,0.1831974133362435,0.10094743999999833,0.4076,0.1329,0.09800457142856914,0.041370530612244744,0.28216134883382926,1.4427786800589033
150000,5000,9576,0,0.23276226183232873,0.10147647999999883,0.3914,0.0863,0.09607820408163037,0.030234204081632368,0.36472024326207164,2.079995439485199
150000,5000,7745,0,0.2373298656444397,0.09685999999999853,0.3994,0.0468,0.09560179591836453,0.023804081632652973,0.26443733873706887,4.656267504094611
150000,5000,7145,0,0.15446759373866448,0.09907679999999884,0.4095,0.1559,0.09737420408163021,0.04775355102040797,0.23858064918519842,1.3616202492994154
