N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7600,0,0.11185848517260955,0.10472639999999837,0.4174,0.1523,0.10250726530611953,0.06480155102040831,0.36657784559699746,3.3152768416218006
150000,5000,7103,0,0.15976745479909038,0.09306495999999846,0.3763,0.1368,0.0885853061224467,0.046262775510203864,0.19955362511494562,1.8835506203326988
150000,5000,9976,0,0.11221867133178343,0.0898540799999995,0.3443,0.13,0.08826236734693686,0.055182040816327174,0.5432480195222438,3.2975432556689617
150000,5000,6497,0,0.09889072813116895,0.09225087999999909,0.3778,0.1711,0.09072530612244649,0.060569306122449124,0.2771881004627181,2.143862146108591
150000,5000,8432,0,0.24922914562535836,0.09772775999999894,0.3709,0.1513,0.09534089795918145,0.022125387755101752,0.554770091312702,-1.262580824817921
150000,5000,8239,0,0.15422767712761043,0.09947383999999869,0.3909,0.101,0.09688946938775263,0.0488915102040818,0.4039401838157218,4.271162450092327
150000,5000,13225,0,0.19550730767224378,0.10155703999999884,0.3744,0.0814,0.09530742857142675,0.041374122448980394,0.5138644553608098,4.664014102474946
150000,5000,8314,0,0.3343697727629352,0.10640303999999762,0.4201,0.116,0.10142906122448651,0.004726040816326449,0.2985386258047885,-2.9900229662326536
150000,5000,9180,0,0.18497378014548216,0.10391815999999837,0.4086,0.1059,0.10154661224489583,0.041403428571428876,0.4148006383694227,2.7468553680352294
150000,5000,9356,0,0.12769257821781632,0.10015455999999866,0.39,0.1748,0.09859020408163026,0.05635551020408172,0.4849097740950728,1.6257831139344745
150000,5000,8533,0,0.2045973527355226,0.09231343999999876,0.3544,0.1413,0.08902097959183447,0.032889224489795726,0.4584849120635036,0.15583943353995164
150000,5000,7396,0,0.15198410390290007,0.10130743999999847,0.4012,0.1489,0.09989779591836481,0.04925412244897963,0.4225788360476143,1.762742343562183
150000,5000,6148,0,0.12053687297007243,0.10444359999999848,0.401,0.1627,0.10282122448979335,0.0611257142857143,0.5442874607042723,2.499380060725922
150000,5000,6568,0,0.12045055398239368,0.10509479999999839,0.4242,0.1695,0.10233779591836456,0.06266024489795906,0.29539971867926845,2.4008869533899437
150000,5000,8514,0,0.286289067015312,0.10382959999999834,0.3968,0.113,0.10122171428571196,0.014000163265306112,0.5226648456210458,-1.6276329222119048
150000,5000,5724,0,0.14049223095433472,0.09988119999999816,0.4081,0.1559,0.09766808163265012,0.05287861224489842,0.26379119127569783,1.9005638360603592
150000,5000,7933,0,0.0769395562818258,0.0978969599999985,0.4074,0.1756,0.09676228571428283,0.07105551020408211,0.2340442353035531,2.9744367247196757
150000,5000,6689,0,0.07408325098727486,0.10863751999999799,0.4291,0.2282,0.10712840816326286,0.08017420408163245,0.4334496840116873,2.101128572533621
150000,5000,6384,0,0.15020209641130344,0.09490807999999853,0.404,0.10649999999999998,0.0929866122448949,0.04725428571428647,0.11344393894075198,3.610625274352696
150000,5000,7933,0,0.20354062878107504,0.09808391999999869,0.3879,0.0894,0.09651771428571207,0.033299020408163134,0.41967214562925403,2.4425752110371093
150000,5000,8669,0,0.10141265296227675,0.10100447999999884,0.3969,0.1726,0.09759183673469096,0.06721714285714292,0.37148758661631714,2.725013550705153
150000,5000,6235,0,0.11876425580649275,0.08998319999999883,0.3817,0.1532,0.09194840816326322,0.04980873469387808,0.2895130877927193,1.6699908393383045
150000,5000,7596,0,0.07044246475040106,0.09600791999999943,0.3745,0.1763,0.0955701224489775,0.07117379591836734,0.5242624713576238,2.9591145077422154
150000,5000,8515,0,0.13755600811022228,0.10387399999999856,0.3779,0.1698,0.09834334693877358,0.05916187755102094,0.6070347634538774,2.0523608101209603
150000,5000,8783,0,0.14858582502729356,0.10372455999999824,0.3966,0.1483,0.09772538775509991,0.056050775510204084,0.38006791724156547,2.535939398320871
150000,5000,9716,0,0.21525255963636247,0.09103247999999871,0.3651,0.0719,0.08973746938775294,0.027830693877550702,0.3698780591932959,2.679274229023219
150000,5000,6510,0,0.07055342483964666,0.09865815999999855,0.4229,0.2016,0.09856318367346657,0.07274538775510228,0.16105490985995433,2.256673015634211
150000,5000,8290,0,0.31383332966181354,0.10340975999999778,0.4056,0.0201,0.10304448979591596,0.004969714285714282,0.5055928170560592,0.3880229321603767
150000,5000,9034,0,0.17183642268154842,0.10076951999999834,0.4142,0.1437,0.10004073469387449,0.04239151020408216,0.29996887619859475,1.1760159272310158
150000,5000,7266,0,0.21202295695150786,0.09931839999999856,0.4227,0.0951,0.10094979591836499,0.028190693877551257,0.255549253866511,1.198121299724951
150000,5000,8872,0,0.1882281453858825,0.10319471999999867,0.3799,0.1021,0.09822236734693676,0.0427784489795922,0.5793225492188973,3.20539001972766
150000,5000,7671,0,0.1524168976783512,0.09934167999999882,0.3916,0.1345,0.09637485714285474,0.049753387755103136,0.37509722794189077,2.4035824798634247
150000,5000,7663,0,0.18516053206227578,0.09518759999999843,0.3999,0.1181,0.09713975510203834,0.033749877551020706,0.3226542177930913,1.0242877405789106
150000,5000,8302,0,0.18303849371087688,0.10237575999999826,0.3901,0.1016,0.09888179591836493,0.04251183673469467,0.49611569645109155,3.196133829494826
150000,5000,6615,0,0.11086756625114935,0.09706823999999835,0.3931,0.173,0.0954897959183648,0.05989600000000039,0.3227261208083774,2.0163367803945635
150000,5000,7314,0,0.1925725009349959,0.09675439999999862,0.3849,0.1696,0.0915437551020386,0.039470775510204927,0.2393847634009875,0.15535674082861856
150000,5000,6910,0,0.12496690260643761,0.10162887999999891,0.4087,0.1593,0.09792163265305888,0.060178367346939036,0.26820782851437946,2.5332397815083265
150000,5000,7629,0,0.12189389508597048,0.09782711999999842,0.3989,0.1552,0.09582922448979353,0.0573093061224499,0.27872074063578256,2.393648211685426
150000,5000,3363,0,0.027533563817580986,0.10354919999999863,0.4322,0.2839,0.10297853061224177,0.09302114285714233,0.24643524251218024,1.713159361600129
150000,5000,10554,0,0.2004317018916526,0.10165951999999906,0.3744,0.086,0.0953276734693857,0.04009648979591795,0.5147520058674203,3.976879730659771
150000,5000,10580,0,0.19321830818485586,0.09670879999999875,0.3738,0.1065,0.09345077551020183,0.03732644897959192,0.43904303813740075,2.0838306237232636
150000,5000,7446,0,0.12089809282868147,0.09554327999999852,0.382,0.1736,0.09227273469387559,0.05759330612244938,0.3003440556834003,1.7792236681439064
150000,5000,11031,0,0.2379417228513362,0.0963180799999991,0.3795,0.0443,0.09605730612244687,0.02252661224489791,0.49015181390327167,4.652315547174849
150000,5000,7426,0,0.15527081299109124,0.10216135999999812,0.4048,0.16789999999999997,0.0974075102040789,0.05199240816326647,0.28524894463449096,1.4168165031970603
150000,5000,13829,0,0.326776900706487,0.1028579199999989,0.3747,0.0392,0.09845616326530417,0.0059266122448979434,0.648451761972384,-1.1742627125181353
